Track ID,Vehicle Type,Speed (km/h),Travel Time (s),Direction,Violation,Timestamp,Frame,Snapshot,License Plate
6,car,8.8,5.3,approaching,YES,2025-12-24 13:33:26,176,../data/outputs/highway_demo/snapshots/violation_001/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_001/plate.jpg
7,car,9.1,5.167,approaching,YES,2025-12-24 13:33:31,203,../data/outputs/highway_demo/snapshots/violation_002/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_002/plate.jpg
10,car,8.6,5.433,approaching,YES,2025-12-24 13:33:34,240,../data/outputs/highway_demo/snapshots/violation_003/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_003/plate.jpg
13,car,8.6,5.433,approaching,YES,2025-12-24 13:33:36,255,../data/outputs/highway_demo/snapshots/violation_004/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_004/plate.jpg
23,car,11.0,4.267,approaching,YES,2025-12-24 13:33:39,301,../data/outputs/highway_demo/snapshots/violation_005/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_005/plate.jpg
18,car,10.4,4.5,approaching,YES,2025-12-24 13:33:40,311,../data/outputs/highway_demo/snapshots/violation_006/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_006/plate.jpg
20,car,8.3,5.667,approaching,YES,2025-12-24 13:33:44,363,../data/outputs/highway_demo/snapshots/violation_007/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_007/plate.jpg
26,car,10.2,4.567,approaching,YES,2025-12-24 13:33:44,366,../data/outputs/highway_demo/snapshots/violation_008/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_008/plate.jpg
27,car,6.8,6.833,approaching,YES,2025-12-24 13:33:51,471,../data/outputs/highway_demo/snapshots/violation_009/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_009/plate.jpg
12,car,9.6,4.867,approaching,YES,2025-12-24 13:33:51,472,../data/outputs/highway_demo/snapshots/violation_010/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_010/plate.jpg
22,car,7.1,6.633,approaching,YES,2025-12-24 13:33:56,551,../data/outputs/highway_demo/snapshots/violation_011/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_011/plate.jpg
43,car,11.2,4.167,approaching,YES,2025-12-24 13:34:00,608,../data/outputs/highway_demo/snapshots/violation_012/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_012/plate.jpg
29,car,9.9,4.733,approaching,YES,2025-12-24 13:34:04,653,../data/outputs/highway_demo/snapshots/violation_013/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_013/plate.jpg
32,car,7.4,6.3,approaching,YES,2025-12-24 13:34:04,657,../data/outputs/highway_demo/snapshots/violation_014/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_014/plate.jpg
42,car,7.4,6.333,approaching,YES,2025-12-24 13:34:09,718,../data/outputs/highway_demo/snapshots/violation_015/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_015/plate.jpg
31,car,8.0,5.833,approaching,YES,2025-12-24 13:34:15,790,../data/outputs/highway_demo/snapshots/violation_016/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_016/plate.jpg
45,car,7.6,6.167,approaching,YES,2025-12-24 13:34:17,815,../data/outputs/highway_demo/snapshots/violation_017/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_017/plate.jpg
52,car,8.9,5.267,approaching,YES,2025-12-24 13:34:22,868,../data/outputs/highway_demo/snapshots/violation_018/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_018/plate.jpg
46,car,7.8,5.967,approaching,YES,2025-12-24 13:34:24,884,../data/outputs/highway_demo/snapshots/violation_019/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_019/plate.jpg
37,car,8.4,5.567,approaching,YES,2025-12-24 13:34:31,964,../data/outputs/highway_demo/snapshots/violation_020/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_020/plate.jpg
41,car,9.1,5.133,approaching,YES,2025-12-24 13:34:34,996,../data/outputs/highway_demo/snapshots/violation_021/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_021/plate.jpg
63,car,9.6,4.9,approaching,YES,2025-12-24 13:34:43,1106,../data/outputs/highway_demo/snapshots/violation_022/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_022/plate.jpg
62,car,8.3,5.667,approaching,YES,2025-12-24 13:34:46,1142,../data/outputs/highway_demo/snapshots/violation_023/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_023/plate.jpg
54,car,9.4,5.0,approaching,YES,2025-12-24 13:34:47,1146,../data/outputs/highway_demo/snapshots/violation_024/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_024/plate.jpg
59,car,9.8,4.767,approaching,YES,2025-12-24 13:34:53,1202,../data/outputs/highway_demo/snapshots/violation_025/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_025/plate.jpg
55,car,8.2,5.7,approaching,YES,2025-12-24 13:34:58,1254,../data/outputs/highway_demo/snapshots/violation_026/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_026/plate.jpg
79,car,10.9,4.3,approaching,YES,2025-12-24 13:34:59,1258,../data/outputs/highway_demo/snapshots/violation_027/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_027/plate.jpg
74,car,8.7,5.367,approaching,YES,2025-12-24 13:35:04,1301,../data/outputs/highway_demo/snapshots/violation_028/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_028/plate.jpg
71,car,7.8,6.033,approaching,YES,2025-12-24 13:35:06,1317,../data/outputs/highway_demo/snapshots/violation_029/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_029/plate.jpg
75,car,10.0,4.7,approaching,YES,2025-12-24 13:35:14,1389,../data/outputs/highway_demo/snapshots/violation_030/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_030/plate.jpg
78,car,7.8,6.0,approaching,YES,2025-12-24 13:35:15,1395,../data/outputs/highway_demo/snapshots/violation_031/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_031/plate.jpg
80,car,8.0,5.867,approaching,YES,2025-12-24 13:35:20,1452,../data/outputs/highway_demo/snapshots/violation_032/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_032/plate.jpg
86,car,11.1,4.233,approaching,YES,2025-12-24 13:35:21,1457,../data/outputs/highway_demo/snapshots/violation_033/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_033/plate.jpg
89,car,7.9,5.933,approaching,YES,2025-12-24 13:35:28,1521,../data/outputs/highway_demo/snapshots/violation_034/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_034/plate.jpg
91,car,9.6,4.9,approaching,YES,2025-12-24 13:35:35,1587,../data/outputs/highway_demo/snapshots/violation_035/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_035/plate.jpg
94,car,9.0,5.2,approaching,YES,2025-12-24 13:35:37,1602,../data/outputs/highway_demo/snapshots/violation_036/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_036/plate.jpg
93,car,7.8,6.033,approaching,YES,2025-12-24 13:35:42,1648,../data/outputs/highway_demo/snapshots/violation_037/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_037/plate.jpg
87,car,8.3,5.633,approaching,YES,2025-12-24 13:35:47,1699,../data/outputs/highway_demo/snapshots/violation_038/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_038/plate.jpg
92,car,7.8,6.033,approaching,YES,2025-12-24 13:35:49,1713,../data/outputs/highway_demo/snapshots/violation_039/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_039/plate.jpg
85,car,8.1,5.767,approaching,YES,2025-12-24 13:35:52,1739,../data/outputs/highway_demo/snapshots/violation_040/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_040/plate.jpg
